@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
230,428,10,16,220,0.067797,0.977169,0.963964,0.977169,0.036036,0.970522,0.658754,1.48336,0.124893
231,428,10,15,221,0.063559,0.977169,0.96614,0.977169,0.03386,0.971623,0.65727,1.486709,0.124899
232,428,10,14,222,0.059322,0.977169,0.968326,0.977169,0.031674,0.972727,0.655786,1.490072,0.143194
233,427,11,14,222,0.059322,0.974886,0.968254,0.974886,0.031746,0.971559,0.654303,1.489962,0.145816
234,427,11,13,223,0.055085,0.974886,0.970455,0.974886,0.029545,0.972665,0.652819,1.493348,0.149314
235,427,11,12,224,0.050847,0.974886,0.972665,0.974886,0.027335,0.973774,0.651335,1.49675,0.194445
236,427,11,11,225,0.04661,0.974886,0.974886,0.974886,0.025114,0.974886,0.649852,1.500167,0.229505
237,427,11,10,226,0.042373,0.974886,0.977117,0.974886,0.022883,0.976,0.648368,1.5036,0.239943
238,427,11,9,227,0.038136,0.974886,0.979358,0.974886,0.020642,0.977117,0.646884,1.507048,0.2521
239,427,11,8,228,0.033898,0.974886,0.981609,0.974886,0.018391,0.978236,0.645401,1.510513,0.302308
240,426,12,8,228,0.033898,0.972603,0.981567,0.972603,0.018433,0.977064,0.643917,1.510448,0.318756
241,426,12,7,229,0.029661,0.972603,0.983834,0.972603,0.016166,0.978186,0.642433,1.513936,0.342197
242,425,13,7,229,0.029661,0.97032,0.983796,0.97032,0.016204,0.977011,0.64095,1.513878,0.342433
243,425,13,6,230,0.025424,0.97032,0.986079,0.97032,0.013921,0.978136,0.639466,1.517391,0.41826
